country,PC1,PC2,PC3,PC4,PC5
Paraguay,3.618264601664972,2.2095724603131974,-9.101220014393272,1.2441378342953697,0.0068506515344349626
Chile,6.771551442230985,-5.7356805277229785,-5.310850154532439,-2.4652921199199764,-0.689595077450819
Argentina,4.7781678522425,-5.2046361672161,-4.099493083203454,-1.5860435466146576,-0.2330120144400464
Uruguay,7.3223529470494,-4.9682403205535675,-5.522892691927438,-1.8044004612954816,-1.556413090647567
United Kingdom,-26.87658503130965,-2.960221206727565,6.6905047217910445,-8.298301681256236,-2.6731107223121033
Ireland,-11.731981953693277,-8.345653866677036,-1.6663175983013774,2.0810481666968648,2.047943368833328
Netherlands,-18.803838235197432,-9.232318195321342,2.342478829769347,1.1406744630835524,-0.1727372020232285
Belgium,-18.721439757334736,-9.492572897480384,2.6740151149883897,0.8554492358762446,-0.24744369886520673
Luxembourg,-18.51521086944055,-9.259828480601724,2.7280119005502472,0.9149287798166086,-0.9159169205911145
France,-24.245957866610716,-3.0187404673698253,7.253428932172126,-6.838707631355657,-4.489780865733045
Monaco,-19.311512664665692,-7.70447877642737,3.912873363573803,-0.3157768041941802,-1.953220103347354
Liechtenstein,-11.334089104917034,-8.027019061497812,-1.3040930745492887,2.107534607925197,1.671081815610158
Switzerland,-11.697606313391386,-8.058654342132519,-1.5190503934078026,1.850611728560088,1.3547140668323856
Spain,-18.927466806739535,-9.69854480134927,3.3546391604409864,0.6661375933988243,-0.9730470631743477
Andorra,-14.629529550282646,-8.765986319945318,-0.30827476381185237,1.4712407900833107,1.0234523996773066
Portugal,-17.37331564678736,-9.468721303690213,2.51684694134809,0.6913469593988368,-0.19011290462199543
Germany,-20.84782903607479,-8.715190090060053,3.4826627915685107,0.30877127591462106,-0.7789109950210543
Poland,-20.37816701814554,-8.442528198628656,4.4833138006205635,-0.4100114572448714,-0.47412396922451466
Hungary,-21.361177472399724,-7.869504244509695,3.4211319972655407,-0.6093255518470798,-0.690972828772957
Czechia,-21.40164285208661,-8.731051946688126,3.410485481029587,0.5055957601574643,-0.7170746525099828
Slovakia,-19.377795077553767,-9.483085623240964,2.9908448416535736,0.5962664054356336,-0.6962677708798476
